Performer,songs,numSong,len_weeks,year_min,year_max,len_year_different,year_space,top1,top5,top10,is_featuring
J. Cole,"['ATM' 'Deja Vu' 'Photograph' '1985 (Intro To The Fall Off)' 'Change'
 ""She's Mine Pt.1"" '4 Your Eyez Only' 'Brackets' ""She's Mine Pt. 2""
 ""Kevin's Heart"" 'Apparently' 'KOD' 'Immortal' 'Neighbors' 'Motiv8'
 'For Whom The Bell Tolls' 'Middle Child' 'Foldin Clothes'
 'Once An Addict (Interlude)' 'Intro' 'Everybody Dies' 'False Prophets'
 'No Role Modelz' 'Album Of The Year (Freestyle)' 'Work Out' 'Who Dat'
 'Window Pain (Outro)' 'Ville Mentality' 'Wet Dreamz']",29,196,2010,2019,9,10,0,2,14,False
Celine Dion,"['All By Myself' 'Because You Loved Me (From ""Up Close & Personal"")'
 'Taking Chances' ""That's The Way It Is"" 'My Heart Will Go On'
 '(If There Was) Any Other Way' 'A New Day Has Come'
 ""It's All Coming Back To Me Now"" 'Misled' 'I Drove All Night'
 'If You Asked Me To' 'Love Can Move Mountains' 'Only One Road'
 'The Power Of Love' 'Think Twice' 'Nothing Broken But My Heart'
 'Where Does My Heart Beat Now']",17,326,1990,2008,15,19,12,54,89,False
Aqua,['Barbie Girl' 'Lollipop (Candyman)'],2,33,1997,1998,2,2,0,0,3,False
Akon,"['Sorry, Blame It On Me' 'Right Now (Na Na Na)' ""Don't Matter"" 'Angel'
 'Belly Dancer (Bananza)' 'Lonely' 'Ghetto']",7,119,2005,2011,6,7,2,15,25,False
KeSha Featuring 3OH!3,['Blah Blah Blah'],1,20,2010,2010,1,1,0,0,1,True
B.o.B Featuring Lil Wayne,['Strange Clouds'],1,20,2011,2012,2,2,0,0,1,True
The Chainsmokers,['Paris' '#SELFIE' 'Sick Boy' 'Honest' 'The One' 'Everybody Hates Me'],6,41,2014,2018,3,5,0,0,10,False
The Weeknd & Kendrick Lamar,['Pray For Me'],1,20,2018,2018,1,1,0,0,6,False
Post Malone,"['Better Now' 'Circles' 'Paranoid' 'Rich & Sad' 'Stay' 'Saint-Tropez'
 'Over Now' ""Takin' Shots"" 'A Thousand Bad Times' 'Allergic' 'Candy Paint'
 '92 Explorer' 'Otherside' 'Blame It On Me' 'Sugar Wraith'
 ""Hollywood's Bleeding"" ""I'm Gonna Be"" 'Myself' 'I Know' 'Internet'
 'I Fall Apart' 'Jonestown (Interlude)' 'Go Flex' 'Wow.' 'White Iverson'
 'Zack And Codeine']",26,258,2015,2019,5,5,2,33,59,False
Billie Eilish,"['Bad Guy' 'All The Good Girls Go To Hell' 'Come Out And Play'
 'Bury A Friend' 'My Strange Addiction' 'I Love You' 'Ilomilo' '8'
 'Listen Before I Go' 'everything i wanted' 'Ocean Eyes'
 'idontwannabeyouanymore' 'Xanny' 'You Should See Me In A Crown'
 ""When The Party's Over"" 'Wish You Were Gay']",16,158,2018,2019,2,2,1,19,31,False
Shawn Colvin,['Sunny Came Home'],1,32,1997,1998,2,2,0,0,6,False
Coldplay,"['Speed Of Sound' 'Paradise' 'A Sky Full Of Stars' 'Christmas Lights'
 'Clocks' 'Adventure Of A Lifetime' 'Magic'
 'Every Teardrop Is A Waterfall' 'Atlas' 'Hymn For The Weekend' 'Fix You'
 'Midnight' 'Moving To Mars' 'Major Minus' 'Talk' 'Yellow' 'Violet Hill'
 'Viva La Vida']",18,279,2001,2016,13,16,1,8,19,False
Adele,"['Skyfall' 'Someone Like You' 'Rolling In The Deep'
 'Send My Love (To Your New Lover)' 'Hello' 'Set Fire To The Rain'
 'Chasing Pavements' 'Rumour Has It' 'All I Ask' 'Remedy'
 'When We Were Young' 'Turning Tables' 'Water Under The Bridge']",13,301,2008,2017,9,10,24,54,81,False
Maroon 5,"['Sugar' 'One More Night' 'She Will Be Loved' 'Daylight' 'Animals'
 'Sunday Morning' 'Maps' 'Memories' 'Misery' 'It Was Always You'
 'Love Somebody' 'Stutter' 'Harder To Breathe' 'Makes Me Wonder'
 'Give A Little More' 'This Love' ""This Summer's Gonna Hurt...""
 'Never Gonna Leave This Bed' ""Won't Go Home Without You"" 'Wipe Your Eyes'
 'Wait' 'Wake Up Call']",22,473,2003,2019,14,17,12,54,111,False
Kelly Clarkson,"['Piece By Piece' 'A Moment Like This' 'Already Gone' 'Catch My Breath'
 'Breakaway' 'Dark Side' 'Since U Been Gone' 'Never Again'
 'Behind These Hazel Eyes' 'Because Of You'
 ""Stronger (What Doesn't Kill You)"" 'Mr. Know It All' 'Heartbeat Song'
 'Miss Independent' 'Love So Soft' 'People Like Us' 'Low'
 'I Do Not Hook Up' ""I'll Be Home For Christmas""
 'My Life Would Suck Without You' 'All I Ever Wanted'
 'Underneath The Tree' 'Walk Away']",23,500,2002,2019,16,18,7,26,95,False
BTS Featuring Halsey,['Boy With Luv'],1,8,2019,2019,1,1,0,0,1,True
Ariana Grande & Social House,['Boyfriend'],1,12,2019,2019,1,1,0,0,1,False
Post Malone Featuring Ozzy Osbourne & Travis Scott,['Take What You Want'],1,15,2019,2019,1,1,0,0,1,True
Eric Clapton,"['Change The World' 'After Midnight' 'Tears In Heaven' 'Pretending'
 ""I've Got A Rock N' Roll Heart"" 'Forever Man' 'Hello Old Friend'
 'Lay Down Sally' 'I Shot The Sheriff' 'Layla' 'Let It Rain'
 'Another Ticket' 'Bad Love' 'See What Love Can Do' 'Bell Bottom Blues'
 'Wonderful Tonight' 'Willie And The Hand Jive']",17,247,1970,1997,17,28,1,23,44,False
P!nk,"['So What' 'Blow Me (One Last Kiss)' 'Stupid Girls' 'Beautiful Trauma'
 'Raise Your Glass' 'Sober' ""Please Don't Leave Me"" ""Don't Let Me Get Me""
 'Glitter In The Air' 'Just Like Fire' 'Family Portrait'
 'Just Like A Pill' 'Get The Party Started' 'Most Girls' ""F**kin' Perfect""
 'A Million Dreams' 'There You Go' 'Funhouse' 'You Make Me Sick'
 'Who Knew' 'Trouble' 'Try' 'U + Ur Hand' 'Walk Me Home' 'What About Us']",25,559,2000,2019,16,20,2,40,96,False
Lil Wayne Featuring Cory Gunz,['6 Foot 7 Foot'],1,21,2011,2011,1,1,0,0,1,True
Drake Featuring Rihanna,['Take Care' 'Too Good'],2,63,2011,2016,3,6,0,0,4,True
Nicki Minaj,"['Starships' 'Barbie Dreams' 'Anaconda' 'Pills N Potions'
 'Pound The Alarm' 'Chun-Li' 'Super Bass' 'Right Thru Me'
 'Regret In Your Tears' 'Roman In Moscow' ""Did It On'em"" 'MEGATRON'
 'Ganja Burns' 'Stupid Hoe' 'Barbie Tingz' 'The Night Is Still Young'
 'Your Love' 'Va Va Voom']",18,260,2010,2019,9,10,0,21,45,False
The Chainsmokers Featuring Halsey,['Closer'],1,52,2016,2017,2,2,12,27,32,True
Drake Featuring Quavo & Travis Scott,['Portland'],1,16,2017,2017,1,1,0,0,1,True
Justin Timberlake Featuring Chris Stapleton,['Say Something'],1,16,2018,2018,1,1,0,0,1,True
Drake Featuring Michael Jackson,"[""Don't Matter To Me""]",1,5,2018,2018,1,1,0,0,1,True
Post Malone & Swae Lee,['Sunflower (Spider-Man: Into The Spider-Verse)'],1,53,2018,2019,2,2,1,20,33,False
U2,"['Discotheque' 'One' 'Staring At The Sun' '(Pride) In The Name Of Love'
 'Desire' 'Angel Of Harlem' 'Sweetest Thing'
 ""Stuck In A Moment You Can't Get Out Of"" 'Stay (Faraway, So Close!)'
 'Beautiful Day'
 'Hold Me, Thrill Me, Kiss Me, Kill Me (From ""Batman Forever"")'
 'Get On Your Boots' ""I Still Haven't Found What I'm Looking For""
 'Last Night On Earth' 'Even Better Than The Real Thing' 'Mysterious Ways'
 'Electrical Storm' 'Magnificent' ""In God's Country"" ""New Year's Day""
 'I Will Follow' 'The Fly' 'All I Want Is You' 'Ordinary Love'
 ""Sometimes You Can't Make It On Your Own""
 'Where The Streets Have No Name' ""Who's Gonna Ride Your Wild Horses""
 'With or Without You' 'Vertigo']",29,376,1983,2014,21,32,5,12,23,False
Puff Daddy Featuring Jimmy Page,['Come With Me'],1,20,1998,1998,1,1,0,1,8,True
Demi Lovato,"['Skyscraper' 'Cool For The Summer' 'Confident' 'Tell Me You Love Me'
 'Sorry Not Sorry' 'Sober' ""Don't Forget"" 'Heart Attack' 'Get Back'
 'Here We Go Again' 'Body Say' 'Let It Go' 'Fix A Heart'
 'Give Your Heart A Break' 'Made In The USA' 'La La Land' 'Catch Me'
 'Neon Lights' 'Unbroken']",19,242,2008,2018,10,11,0,0,9,False
The Beatles,"['Real Love' 'Paperback Writer' 'Penny Lane' 'And I Love Her'
 ""The Beatles' Movie Medley"" 'Something' ""A Hard Day's Night""
 'Come Together/Something' ""Can't Buy Me Love"" 'Revolution'
 ""She's A Woman"" 'All You Need Is Love' 'Day Tripper'
 'Strawberry Fields Forever' 'Let It Be' 'Hey Jude' 'Free As A Bird'
 ""Ain't She Sweet"" 'P.S. I Love You' ""Baby You're A Rich Man""
 ""Baby It's You"" 'Please Please Me' 'She Loves You' 'All My Loving'
 'The Ballad Of John And Yoko' 'Rain' 'I Feel Fine' 'Lady Madonna'
 'Nowhere Man' 'Help!' 'I Want To Hold Your Hand' 'Hello Goodbye'
 'Eight Days A Week' 'Got To Get You Into My Life' ""I'll Cry Instead""
 'Do You Want To Know A Secret' 'Roll Over Beethoven' 'Thank You Girl'
 '4 - By The Beatles' 'I Am The Walrus' 'Eleanor Rigby'
 'I Saw Her Standing There' 'I Should Have Known Better'
 'Ob-la-di, Ob-la-da' 'Love Me Do' 'Matchbox'
 ""I Don't Want To Spoil The Party"" 'From Me To You' 'If I Fell'
 ""I'm Happy Just To Dance With You"" 'The Inner Light'
 'The Long And Winding Road/For You Blue' 'Act Naturally'
 ""Sgt. Pepper's Lonely Hearts Club Band/With A Little Help From My Friends""
 ""There's A Place"" 'Four By The Beatles' 'Slow Down' 'Ticket To Ride'
 'Yellow Submarine' 'Yes It Is' 'Yesterday' ""You Can't Do That""
 'Twist And Shout' 'We Can Work It Out' 'What Goes On']",65,585,1964,1996,14,33,54,149,203,False
B.o.B,"['So Good' ""Don't Let Me Fall"" 'I Am The Champion']",3,20,2010,2012,3,3,0,0,0,False
Florida Georgia Line,"['Dirt' 'Talk You Out Of It' ""Sippin' On Fire"" 'Sun Daze' 'Anything Goes'
 'Simple' 'Confession' 'Stay' ""Bumpin' The Night"" 'Round Here' 'H.O.L.Y.'
 'Get Your Shine On' 'Smooth']",13,234,2013,2019,7,7,0,0,0,False
Beyonce,"['Sorry' 'Ring The Alarm' '7/11' 'Run The World (Girls)'
 'Pray You Catch Me' 'Dangerously In Love' 'Countdown' 'All Night'
 'Daddy Lessons' 'Sandcastles' '1+1' 'Best Thing I Never Had' 'Diva'
 'Before I Let Go' 'Single Ladies (Put A Ring On It)' 'Sweet Dreams'
 'Partition' 'At Last' 'Dance For You' 'Formation' 'Hold Up' 'Love On Top'
 'Love Drought' 'Naughty Girl' 'Ego' 'Me, Myself And I' 'Irreplaceable'
 'Halo' 'Listen' 'Get Me Bodied' 'If I Were A Boy' 'Spirit' 'XO']",33,490,2003,2019,15,17,14,45,72,False
Kanye West,"['All Mine' 'Closed On Sunday' 'Selah' 'POWER' 'All Of The Lights'
 'Diamonds From Sierra Leone' ""Can't Tell Me Nothing"" 'Stronger' 'Pt. 2'
 'Love Lockdown' 'Heartless' 'Follow God' 'Black Skinhead' 'On God'
 'I Thought About Killing You' 'Famous' 'No Mistakes' 'God Is'
 'Father Stretch My Hands Pt. 1' 'New Slaves' 'Bound 2' 'Jesus Is Lord'
 'Jesus Walks' 'FML' 'Blood On The Leaves' 'Real Friends'
 'Through The Wire' 'Fade' 'Feedback' 'Yikes' 'Ultralight Beam'
 'Violent Crimes' 'Waves']",33,311,2003,2019,13,17,1,22,43,False
Juice WRLD & YoungBoy Never Broke Again,['Bandit'],1,11,2019,2019,1,1,0,0,1,False
TLC,"[""Diggin' On You"" 'Red Light Special' 'Creep' 'Baby-Baby-Baby'
 ""Ain't 2 Proud 2 Beg"" 'Damaged' 'Dear Lie'
 'Get It Up (From ""Poetic Justice"")' 'No Scrubs' 'Girl Talk' 'Silly Ho'
 'Hat 2 Da Back' 'Unpretty' 'Waterfalls' 'What About Your Friends']",15,316,1992,2003,9,12,18,76,123,False
Katharine McPhee,['Somewhere Over The Rainbow' 'Over It' 'My Destiny'],3,22,2006,2007,2,2,0,0,0,False
B.o.B Featuring Hayley Williams,['Airplanes'],1,30,2010,2010,1,1,0,13,17,True
Kanye West Featuring Pusha T,['Runaway'],1,13,2010,2011,2,2,0,0,0,True
Jason Aldean,"['Take A Little Ride' ""Burnin' It Down"" 'Rearview Town' ""Any Ol' Barstool""
 ""She's Country"" 'Crazy Town' 'A Little More Summertime'
 'Dirt Road Anthem' 'Big Green Tractor' ""Sweet Little Somethin'""
 'Amarillo Sky' '1994' 'Tattoos On This Town' 'Lights Come On'
 'My Kinda Party' ""Just Gettin' Started"" 'Gonna Know We Were Here'
 'Fly Over States' 'Night Train' 'The Truth' ""They Don't Know""
 'Laughed Until We Cried' 'Johnny Cash' 'Girl Like You' 'Hicktown'
 'You Make It Easy' 'When She Says Baby' 'Why' 'Tonight Looks Good On You'
 'Two Night Town' 'We Back']",31,518,2005,2019,15,15,0,0,2,False
will.i.am & Britney Spears,['Scream & Shout'],1,24,2012,2013,2,2,0,5,11,False
The Verve,['Bitter Sweet Symphony'],1,20,1998,1998,1,1,0,0,0,False
Marcy Playground,['Sex And Candy'],1,28,1998,1998,1,1,0,0,4,False
Keith Sweat Featuring Snoop Dogg,['Come And Get With Me'],1,15,1998,1999,2,2,0,0,0,True
KeSha,"['Die Young' ""C'mon"" 'Blow' 'Take It Off' 'Cannibal'
 'Crazy Beautiful Life' ""F**k Him He's A DJ"" 'TiK ToK'
 'Your Love Is My Drug' 'We R Who We R']",10,173,2009,2013,5,5,10,33,64,False
Lady Gaga Featuring R. Kelly,['Do What U Want'],1,19,2013,2014,2,2,0,0,0,True
The Carters,['Apes**t' 'Boss' 'Nice' 'Summer' 'Friends'],5,20,2018,2018,1,1,0,0,0,False
Machine Gun Kelly,['Rap Devil'],1,4,2018,2018,1,1,0,0,0,False
"Ariana Grande, Miley Cyrus & Lana Del Rey","[""Don't Call Me Angel (Charlie's Angels)""]",1,7,2019,2019,1,1,0,0,0,False
Eagle-Eye Cherry,['Save Tonight'],1,28,1998,1999,2,2,0,1,4,False
Janet,"['All For You' 'Someone To Call My Lover' ""Doesn't Really Matter""
 'Feedback' 'Together Again']",5,129,1997,2008,5,12,12,35,46,False
Corbin Bleu,['Push It To The Limit'],1,5,2007,2007,1,1,0,0,0,False
Cardi B Featuring 21 Savage,['Bartier Cardi'],1,20,2018,2018,1,1,0,0,0,True
Lil Wayne,"['Dedicate' ""Can't Be Broken"" 'Blunt Blowin' 'Open Letter' 'Problems'
 'A Milli' 'Open Safe' '3 Peat' 'Hot Revolver' 'MegaMan' 'Hittas'
 'On Fire' 'Bill Gates' 'Demon' 'I Am Not A Human Being' 'How To Love'
 'Go D.J.' 'Mess' 'Let It All Work Out' ""I'm Single""
 'Nightmares Of The Bottom' 'Fireman' 'Perfect Strangers'
 'President Carter' 'Hustler Musik' ""I'm Me"" 'Took His Time' 'Uproar'
 'Used 2' 'Way Of Life']",30,155,2002,2019,11,18,0,1,17,False
K-Ci & JoJo,"['All My Life' 'Crazy' ""Tell Me It's Real""
 'How Could You (From ""Bulletproof"")' ""Last Night's Letter"" 'Life'
 'You Bring Me Up']",7,153,1996,2001,6,6,3,8,16,False
Ariana Grande Featuring Zedd,['Break Free'],1,22,2014,2014,1,1,0,1,8,True
"Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney",['All Day'],1,15,2015,2015,1,1,0,0,0,True
Post Malone Featuring Swae Lee,['Spoil My Night'],1,5,2018,2018,1,1,0,0,0,True
The Danleers,['One Summer Night'],1,8,1958,1958,1,1,0,0,0,False
"Jay-Z, Bono, The Edge & Rihanna",['Stranded (Haiti Mon Amour)'],1,2,2010,2010,1,1,0,0,0,False
Rihanna,"['Diamonds' 'Rehab' 'Disturbia' 'B**** Better Have My Money'
 ""Don't Stop The Music"" 'Shut Up And Drive' 'Pour It Up'
 'California King Bed' 'Russian Roulette' 'Take A Bow' 'SOS'
 'Only Girl (In The World)' 'Pon de Replay' 'Rude Boy'
 'Cheers (Drink To That)' 'Sex With Me' 'Redemption Song' 'Kiss It Better'
 'Love On The Brain' 'Needed Me' 'Man Down' 'American Oxygen'
 ""If It's Lovin' That You Want"" 'You Da One' 'Where Have You Been'
 'Unfaithful' 'What Now']",27,566,2005,2017,12,13,15,77,144,False
Luke Bryan,"[""That's My Kind Of Night"" 'Sunrise, Sunburn, Sunset' 'Crash My Party'
 'Country Girl (Shake It For Me)' 'Strip It Down' 'Roller Coaster'
 'Rain Is A Good Thing' 'Play It Again' 'Someone Else Calling You Baby'
 'All My Friends Say' 'Do I' 'Kick The Dust Up' 'Buzzkill' 'Light It Up'
 'Drunk On You' 'Drink A Beer' 'Country Man' 'Fast' 'I See You'
 ""I Don't Want This Night To End"" 'Kiss Tomorrow Goodbye'
 ""Huntin', Fishin' & Lovin' Every Day"" 'Games' 'Most People Are Good'
 ""Knockin' Boots"" 'Move' 'What Makes You Country' 'What She Wants Tonight']",28,470,2007,2019,13,13,0,0,0,False
A Great Big World & Christina Aguilera,['Say Something'],1,26,2013,2014,2,2,0,9,14,False
5 Seconds Of Summer,"['Amnesia' ""She's Kinda Hot"" ""Don't Stop"" 'She Looks So Perfect'
 ""Everything I Didn't Say"" 'Kiss Me Kiss Me' 'Good Girls' 'Easier'
 'Girls Talk Boys' 'Jet Black Heart' 'Fly Away' 'Youngblood'
 'Want You Back']",13,124,2014,2019,5,6,0,0,7,False
Drake Featuring The Throne,['Pop Style'],1,20,2016,2016,1,1,0,0,0,True
David Guetta Featuring Justin Bieber,['2U'],1,11,2017,2017,1,1,0,0,0,True
The Manhattans,"[""Don't Take Your Love"" 'Shining Star' 'I Kinda Miss You'
 'It Feels So Good To Be Loved So Bad' 'Crazy' ""There's No Me Without You""
 'Follow Your Heart' 'I Call It Love' 'If My Heart Could Speak'
 'I Wanna Be (Your Everything)' 'Hurt' 'Kiss And Say Goodbye'
 'Baby I Need You' 'You Send Me' ""You'd Better Believe It""
 'We Never Danced To A Love Song']",16,137,1965,1985,12,21,2,7,14,False
Right Said Fred,"[""Don't Talk Just Kiss"" ""I'm Too Sexy""]",2,28,1991,1992,2,2,3,8,12,False
Rick Springfield,"[""Don't Talk To Strangers"" 'Souls' 'Affair Of The Heart' 'Rock Of Life'
 'Speak To The Sky' ""Don't Walk Away"" 'Bruce' ""Bop 'til You Drop""
 'State Of the Heart' 'Celebrate Youth' 'Love Somebody' 'Take A Hand'
 'Human Touch' 'I Get Excited' ""I've Done Everything For You""
 ""Jessie's Girl"" 'Love Is Alright Tonite' 'American Girls'
 'What Kind Of Fool Am I' 'What Would The Children Think']",20,288,1972,1988,9,17,2,19,35,False
The Beau Brummels,"[""Don't Talk To Strangers"" 'Just A Little' 'Laugh, Laugh'
 'Good Time Music' 'You Tell Me Why']",5,40,1965,1965,1,1,0,0,3,False
Jon B,"[""Don't Talk"" 'Pretty Girl' ""Don't Say"" ""They Don't Know""]",4,80,1995,2001,5,7,0,0,4,False
Larry Lee,"[""Don't Talk""]",1,2,1982,1982,1,1,0,0,0,False
Jeremih Featuring YG,"[""Don't Tell 'Em""]",1,31,2014,2015,2,2,0,0,8,True
Lobo,"[""Don't Tell Me Goodnight"" 'Rings' ""She Didn't Do Magic/I'm The Only One""
 'A Simple Man' ""Don't Expect Me To Be Your Friend""
 'Standing At The End Of The Line' 'California Kid And Reemo'
 'How Can I Tell Her' 'Me And You And A Dog Named Boo'
 ""I'd Love You To Want Me"" 'It Sure Took A Long, Long Time'
 ""Love Me For What I Am/there Ain't No Way"" ""Holdin' On For Dear Love""
 ""There Ain't No Way"" 'Where Were You When I Was Falling In Love']",15,141,1971,1980,7,10,0,6,14,False
Breathe,"[""Don't Tell Me Lies"" 'Say A Prayer' 'How Can I Fall?' 'Hands To Heaven']",4,82,1988,1990,3,3,0,6,12,False
Martha Davis,"[""Don't Tell Me The Time""]",1,8,1987,1988,2,2,0,0,0,False
Night Ranger,"[""Don't Tell Me You Love Me"" 'Sentimental Street' 'Sister Christian'
 '(You Can Still) Rock In America' 'Sing Me Away'
 ""Four In The Morning (I Can't Take Anymore)"" 'Goodbye' 'Hearts Away'
 'The Secret Of My Success' 'I Did It For Love' 'When You Close Your Eyes']",11,137,1983,1988,6,6,0,2,6,False
Don Gibson,"[""Don't Tell Me Your Troubles"" 'Blue Blue Day' 'Sea Of Heartbreak'
 ""Look Who's Blue"" 'Lonesome Number One' 'Lonesome Old House'
 'Give Myself A Party' 'Just One Time' 'Far, Far Away' 'Sweet Dreams'
 'Who Cares' 'What About Me']",12,82,1958,1962,5,5,0,0,0,False
Avril Lavigne,"[""Don't Tell Me"" 'Girlfriend' 'Complicated' 'Alice' 'Sk8er Boi'
 'Keep Holding On' ""Here's To Never Growing Up"" ""Nobody's Home""
 ""I'm With You"" 'Head Above Water' 'My Happy Ending' 'Losing Grip'
 'Hello Kitty' 'Hot' 'Rock N Roll' 'Smile' ""When You're Gone""
 'Wish You Were Here' 'What The Hell']",19,268,2002,2018,12,17,1,23,49,False
Bill Anderson,"['Still' '8 X 10' ""I Can't Wait Any Longer"" 'Mama Sang A Song'
 'Where Have All Our Heroes Gone']",5,32,1962,1978,4,17,0,0,3,False
Bobby Vinton,"['Coming Home Soldier' 'Rain Rain Go Away'
 'Over The Mountain (Across The Sea)' 'Satin Pillows' 'Sealed With A Kiss'
 'Clinging Vine' 'Roses Are Red (My Love)' 'Tell Me Why'
 'Please Love Me Forever' 'Take Good Care Of My Baby'
 'Beer Barrel Polka/Dick And Jane' 'Blue Velvet' 'Blue On Blue' 'Tears'
 'I Love How You Love Me' 'My Heart Belongs To Only You'
 'Halfway To Paradise' 'Mr. Lonely' ""Let's Kiss And Make Up"" 'Dum-De-Da'
 'L-O-N-E-L-Y' 'I Love You The Way You Are' 'Long Lonely Nights'
 ""For He's A Jolly Good Fellow"" 'Just As Much As Ever'
 ""Make Believe It's Your First Time"" 'My Elusive Dreams'
 'My Melody Of Love' 'The Days Of Sand And Shovels'
 'Petticoat White (Summer Sky Blue)' 'Save Your Kisses For Me'
 'Red Roses For Mom' 'But I Do' 'Theme From ""Harlow"" (Lonely Girl)'
 ""There! I've Said It Again"" 'Every Day Of My Life' 'Moonlight Serenade'
 'No Arms Can Ever Hold You' 'Only Love Can Break A Heart' 'Wooden Heart'
 'To Know You Is To Love You' 'Trouble Is My Middle Name'
 'What Color (Is A Man)']",43,369,1962,1980,16,19,12,33,57,False
The 8th Day,"[""She's Not Just Another Woman"" 'If I Could See The Light'
 ""You've Got To Crawl (Before You Walk)""]",3,28,1971,1972,2,2,0,0,0,False
Bay City Rollers,"['Saturday Night' 'Rock And Roll Love Letter' 'Money Honey'
 'I Only Want To Be With You' 'Dedication' 'The Way I Feel Tonight'
 ""Yesterday's Hero"" 'You Made Me Believe In Magic']",8,105,1975,1978,4,4,1,5,10,False
M,['Pop Muzik'],1,24,1979,1980,2,2,1,4,9,False
Europe,"['Carrie' 'Superstitious' 'Rock The Night' 'Cherokee'
 'The Final Countdown']",5,73,1987,1988,2,2,0,3,7,False
Levert,"['Casanova' 'ABC-123' ""Good Ol' Days""]",3,46,1987,1993,2,7,0,1,4,False
Joe,"['All The Things (Your Man Won\'t Do) (From ""Don\'t Be A Menace..."")'
 'Don\'t Wanna Be A Player (From ""Booty Call"")' ""Let's Stay Home Tonight""
 'More & More' 'If I Was Your Man' 'I Wanna Know' ""I'm In Luv""
 'Treat Her Like A Lady' 'What If A Woman']",9,164,1993,2007,9,15,0,6,16,False
Claudine Clark,['Party Lights'],1,15,1962,1962,1,1,0,1,3,False
Dawn,['Candida' 'Summer Sand' 'I Play And Sing' 'Knock Three Times'],4,54,1970,1971,2,2,3,12,19,False
Journey,"['Only The Young' 'Any Way You Want It' 'Separate Ways (Worlds Apart)'
 'Open Arms' 'Be Good To Yourself' ""Don't Stop Believin'"" 'Suzanne'
 'Still They Ride' 'After The Fall' 'Send Her My Love' 'Faithfully'
 ""Girl Can't Help It"" ""I'll Be Alright Without You"" 'Just The Same Way'
 ""Lovin', Touchin', Squeezin'"" 'Good Morning Girl/stay Awhile' 'Lights'
 'Anytime' ""The Party's Over (Hopelessly In Love)"" 'Wheel In The Sky'
 'When You Love A Woman' ""Who's Crying Now""
 ""Why Can't This Night Go On Forever"" 'Too Late' 'Walks Like A Lady']",25,352,1978,1997,12,20,0,10,31,False
John Parr,"[""St. Elmo's Fire (Man In Motion)"" 'Naughty Naughty' 'Magical'
 'Love Grammar' 'Blame It On The Radio']",5,55,1984,1987,4,4,2,5,7,False
The Jets,"['Crush On You' 'Cross My Broken Heart (From ""Beverly Hills Cop II"")'
 'Rocket 2 U' 'Private Number' 'I Do You' 'Make It Real'
 ""Sendin' All My Love"" 'The Same Love' 'You Better Dance' 'You Got It All']",10,147,1986,1989,4,4,0,8,21,False
The S.O.S. Band,"['Take Your Time (Do It Right) Part 1' 'Tell Me If You Still Care'
 'Just The Way You Like It' 'Just Be Good To Me' 'The Finest']",5,69,1980,1986,4,7,0,4,7,False
Laura Branigan,"['Self Control' 'Power Of Love' 'Solitaire' 'Spanish Eddie'
 'Shattered Glass' 'Gloria' 'Hold Me'
 'How Am I Supposed To Live Without You' 'I Found Someone'
 'Moonlight On Water' 'The Lucky One' 'All Night With Me' 'Ti Amo']",13,190,1982,1990,8,9,0,11,20,False
Gloria Estefan & Miami Sound Machine,"['1-2-3' ""Can't Stay Away From You"" 'Anything For You'
 'Rhythm Is Gonna Get You' 'Betcha Say That']",5,93,1987,1988,2,2,2,8,20,False
Faith Evans Featuring Puff Daddy,['All Night Long'],1,19,1999,1999,1,1,0,0,2,True
Tones And I,['Dance Monkey'],1,11,2019,2019,1,1,0,0,1,False
Mr. Mister,"['Broken Wings' 'Something Real (Inside Me/Inside You)' 'Is It Love'
 'Kyrie' 'Hunters Of The Night']",5,78,1984,1987,4,4,4,10,17,False
The Rolling Stones,"['Beast Of Burden' 'Brown Sugar' '19th Nervous Breakdown'
 'Paint It, Black' ""She's So Cold"" 'Rock And A Hard Place'
 'As Tears Go By' ""Tell Me (You're Coming Back)"" ""Ain't Too Proud To Beg""
 'Shattered' 'One Hit (To The Body)' 'Start Me Up'
 ""(I Can't Get No) Satisfaction"" 'Out Of Tears' 'Emotional Rescue'
 'Have You Seen Your Mother, Baby, Standing In The Shadow?'
 'Harlem Shuffle' 'Mixed Emotions' ""Jumpin' Jack Flash"" 'Dandelion'
 'Almost Hear You Sigh' 'Angie' ""She's A Rainbow"" 'Ruby Tuesday'
 'She Was Hot' 'Street Fighting Man' 'Fool To Cry' 'Hot Stuff/fool To Cry'
 'Get Off Of My Cloud' 'Going To A Go-Go' 'Happy' 'Mothers Little Helper'
 'Miss You' 'Heart Of Stone' 'Hang Fire' 'Honky Tonk Women' 'Lady Jane'
 'Doo Doo Doo Doo Doo (heartbreaker)' ""I Don't Know Why""
 ""Let's Spend The Night Together"" ""It's Only Rock 'N Roll (But I Like It)""
 'Highwire' 'Love Is Strong' 'The Last Time' 'Out Of Time' 'Saint Of Me'
 'Play With Fire' 'Sympathy For The Devil (Remixes)' 'Not Fade Away'
 ""It's All Over Now"" ""You Can't Always Get What You Want"" 'Wild Horses'
 'Time Is On My Side' 'Tumbling Dice' 'Undercover Of The Night'
 'Waiting On A Friend' 'We Love You']",57,585,1964,2003,27,40,17,72,130,False
